Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Semaphore_Mean,Nq_Semaphore_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
VT,0.50,15,396.87,395.10,1.918,11853,11853,0,100.0,395.10,61.37,72.19,0.00,0,0.00,113.8,170,132.0,132,14,65,4.64,3.87,93.00
PT,0.80,12,634.99,633.30,2.074,18999,18999,0,100.0,633.30,63.51,93.41,0.63,13,0.33,117.9,170,173.1,189,24,159,6.63,3.87,21.00
VT,0.85,5,674.67,669.37,2.495,20081,20081,0,100.0,669.37,65.79,91.37,1.23,16,1.87,117.6,171,132.0,132,25,200,8.00,3.90,79.00
VT,0.75,19,595.30,596.33,2.374,17890,17890,0,100.0,596.33,64.56,85.65,0.24,13,0.93,118.4,168,132.0,132,22,197,8.95,3.80,79.00
VT,1.05,5,833.42,824.73,2.857,24742,24742,0,100.0,824.73,749.42,1306.45,545.63,1041,566.12,111.9,163,132.1,133,37,242,6.54,3.63,53.00
PT,0.80,7,634.99,633.20,2.094,18996,18996,0,100.0,633.20,63.66,94.40,0.98,27,0.42,116.9,171,176.1,194,24,188,7.83,3.90,46.00
VT,1.05,13,833.42,837.27,2.889,25118,25118,0,100.0,837.27,1388.15,2289.10,1044.70,1780,1109.51,119.2,169,132.7,133,40,238,5.95,3.83,51.00
PT,0.85,18,674.67,679.97,2.117,20399,20399,0,100.0,679.97,67.05,107.75,3.58,31,2.76,110.2,157,183.9,215,26,151,5.81,3.43,71.00
VT,0.85,18,674.67,672.70,2.436,20181,20181,0,100.0,672.70,63.91,86.68,0.74,14,0.62,122.4,171,132.3,134,26,188,7.23,3.90,37.00
VT,0.60,7,476.24,472.03,2.127,14161,14161,0,100.0,472.03,63.18,79.14,0.00,0,0.09,118.6,170,133.1,134,17,127,7.47,3.87,96.00
PT,0.65,12,515.93,510.93,1.939,15328,15328,0,100.0,510.93,62.60,82.63,0.02,2,0.00,112.6,152,167.9,187,19,180,9.47,3.27,80.00
VT,0.80,17,634.99,635.53,2.400,19066,19066,0,100.0,635.53,64.40,87.57,0.38,11,0.89,116.2,169,132.3,134,24,211,8.79,3.83,45.00
PT,0.75,3,595.30,591.67,1.989,17750,17750,0,100.0,591.67,63.00,85.78,0.24,7,0.00,119.0,172,172.3,185,22,158,7.18,3.93,87.00
VT,0.85,6,674.67,669.17,2.512,20075,20075,0,100.0,669.17,66.42,97.26,1.64,25,2.29,117.5,170,132.0,132,25,191,7.64,3.87,97.00
VT,0.85,10,674.67,670.20,2.431,20106,20106,0,100.0,670.20,64.05,93.76,1.04,22,0.71,118.8,165,132.0,132,26,189,7.27,3.70,17.00
VT,1.05,17,833.42,835.03,2.848,25051,25051,0,100.0,835.03,1574.90,2324.20,1195.29,1807,1262.49,108.0,164,132.0,132,38,282,7.42,3.67,33.00
VT,0.95,6,754.05,756.93,2.792,22708,22708,0,100.0,756.93,88.29,148.89,17.55,61,19.15,115.2,171,132.0,132,29,220,7.59,3.90,98.00
PT,0.85,3,674.67,672.60,2.145,20178,20178,0,100.0,672.60,64.49,96.42,1.64,20,1.01,112.8,171,177.2,193,26,177,6.81,3.90,32.00
PT,1.05,16,833.42,838.10,2.089,25143,25143,0,100.0,838.10,1860.24,2887.41,1410.05,2236,1506.28,118.3,168,1616.2,2412,35,232,6.63,3.80,33.00
VT,0.75,18,595.30,588.93,2.351,17668,17668,0,100.0,588.93,64.86,86.47,0.32,15,1.10,112.4,172,132.0,132,22,208,9.45,3.93,47.00
PT,0.80,16,634.99,634.73,2.024,19042,19042,0,100.0,634.73,63.49,93.90,1.13,31,0.32,110.3,169,171.9,187,24,153,6.38,3.83,61.00
PT,0.95,5,754.05,757.27,2.190,22718,22718,0,100.0,757.27,85.57,166.02,17.59,65,17.09,115.7,166,203.9,250,30,204,6.80,3.73,98.00
PT,0.85,13,674.67,687.47,2.168,20624,20624,0,100.0,687.47,65.67,106.85,2.84,24,1.84,129.7,191,179.9,206,21,144,6.86,4.57,133.00
VT,0.50,9,396.87,394.57,1.962,11837,11837,0,100.0,394.57,62.31,72.19,0.00,0,0.00,113.3,170,132.0,132,16,91,5.69,3.87,95.00
VT,0.50,5,396.87,402.73,1.982,12082,12082,0,100.0,402.73,62.28,72.86,0.00,0,0.00,112.9,166,132.0,132,14,84,6.00,3.73,104.00
VT,0.70,13,555.61,553.93,2.309,16618,16618,0,100.0,553.93,62.67,77.73,0.02,3,0.00,115.3,168,132.0,132,21,155,7.38,3.80,14.00
PT,0.50,9,396.87,398.23,1.800,11947,11947,0,100.0,398.23,61.73,76.48,0.00,0,0.00,117.2,168,158.5,166,15,92,6.13,3.80,21.00
PT,0.80,3,634.99,634.33,2.058,19030,19030,0,100.0,634.33,63.76,92.98,0.74,15,0.49,113.2,165,172.7,195,23,173,7.52,3.70,106.00
PT,0.50,13,396.87,391.00,1.781,11730,11730,0,100.0,391.00,61.90,76.89,0.00,0,0.00,114.1,163,158.1,176,14,107,7.64,3.63,88.00
VT,0.85,3,674.67,673.23,2.401,20197,20197,0,100.0,673.23,64.69,92.75,1.08,13,1.14,123.7,171,132.0,132,25,180,7.20,3.90,99.00
PT,0.30,8,238.12,234.37,1.481,7031,7031,0,100.0,234.37,60.73,70.07,0.00,0,0.00,115.3,171,147.2,161,8,49,6.13,3.90,116.00
PT,0.60,7,476.24,477.30,1.881,14319,14319,0,100.0,477.30,61.49,78.06,0.00,0,0.00,117.6,167,162.7,182,18,134,7.44,3.80,16.00
PT,0.80,20,634.99,633.23,2.035,18997,18997,0,100.0,633.23,63.77,95.56,0.89,22,0.49,120.1,173,172.5,190,23,149,6.48,3.97,99.00
VT,0.75,10,595.30,590.60,2.347,17718,17718,0,100.0,590.60,63.39,81.40,0.11,5,0.24,116.3,172,132.0,132,22,174,7.91,3.93,73.00
PT,0.75,1,595.30,600.10,2.033,18003,18003,0,100.0,600.10,62.56,81.21,0.14,7,0.00,114.2,172,172.0,189,22,163,7.41,3.93,91.00
VT,0.60,9,476.24,484.93,2.240,14548,14548,0,100.0,484.93,63.43,77.19,0.00,0,0.21,114.9,169,132.0,132,18,135,7.50,3.83,49.00
VT,0.75,3,595.30,591.17,2.269,17735,17735,0,100.0,591.17,62.78,83.22,0.22,12,0.00,116.1,172,132.0,132,22,187,8.50,3.93,59.00
PT,0.60,11,476.24,470.40,1.874,14112,14112,0,100.0,470.40,62.27,78.33,0.00,0,0.00,117.1,170,161.9,179,17,133,7.82,3.87,103.00
VT,0.50,2,396.87,398.60,1.942,11958,11958,0,100.0,398.60,61.92,73.63,0.00,0,0.00,113.1,162,132.0,132,14,92,6.57,3.60,99.00
VT,1.05,6,833.42,836.07,2.901,25082,25082,0,100.0,836.07,1880.77,2903.47,1420.42,2221,1519.78,120.3,167,132.0,132,40,309,7.73,3.77,61.00
VT,1.05,9,833.42,826.87,2.732,24806,24806,0,100.0,826.87,870.45,1596.78,636.83,1184,667.66,122.0,182,132.0,132,33,255,7.73,4.27,100.00
PT,1.05,2,833.42,834.23,2.154,25027,25027,0,100.0,834.23,1617.83,2417.99,1226.02,1916,1297.10,126.4,189,1429.8,2098,29,227,7.83,4.50,67.00
VT,0.75,20,595.30,594.00,2.254,17820,17820,0,100.0,594.00,62.81,83.80,0.32,17,0.00,119.4,172,132.0,132,24,203,8.46,3.93,57.00
VT,0.80,7,634.99,631.70,2.262,18951,18951,0,100.0,631.70,62.06,83.13,0.36,13,0.00,119.8,172,132.0,132,24,187,7.79,3.93,39.00
PT,0.95,11,754.05,757.97,2.133,22739,22739,0,100.0,757.97,84.85,153.74,17.22,66,16.57,122.1,191,201.3,236,28,196,7.00,4.57,124.00
PT,0.85,15,674.67,672.10,2.070,20163,20163,0,100.0,672.10,64.84,106.77,1.76,26,1.24,115.1,172,177.0,195,27,157,5.81,3.93,55.00
PT,0.60,13,476.24,483.37,1.901,14501,14501,0,100.0,483.37,61.77,78.64,0.00,0,0.00,118.5,171,163.6,176,18,124,6.89,3.90,16.00
PT,1.05,9,833.42,840.50,2.082,25215,25215,0,100.0,840.50,1670.59,3025.02,1231.83,2302,1351.19,110.9,162,1446.3,2474,35,264,7.54,3.60,50.00
PT,1.05,13,833.42,832.87,2.080,24986,24986,0,100.0,832.87,1692.10,2856.24,1255.26,2156,1356.83,116.6,163,1467.9,2336,34,229,6.74,3.63,112.00
VT,0.80,9,634.99,631.27,2.375,18938,18938,0,100.0,631.27,63.85,85.20,0.86,19,0.54,112.0,168,132.0,132,23,177,7.70,3.80,116.00
VT,0.85,2,674.67,677.77,2.412,20333,20333,0,100.0,677.77,64.87,92.41,0.90,14,1.27,116.0,171,132.0,132,26,223,8.58,3.90,27.00
VT,0.65,3,515.93,515.17,2.125,15455,15455,0,100.0,515.17,61.91,76.98,0.01,1,0.00,99.3,134,132.3,134,19,135,7.11,2.67,59.00
VT,0.95,1,754.05,752.17,2.610,22565,22565,0,100.0,752.17,70.43,106.14,5.16,38,5.59,115.3,164,133.0,134,31,215,6.94,3.67,120.00
VT,0.60,15,476.24,475.37,2.165,14261,14261,0,100.0,475.37,62.87,75.64,0.00,0,0.00,114.8,168,133.4,134,17,119,7.00,3.80,112.00
PT,1.05,5,833.42,832.47,2.154,24974,24974,0,100.0,832.47,1204.61,2232.16,886.77,1695,950.35,116.8,169,1081.4,1810,32,270,8.44,3.83,70.00
PT,0.95,9,754.05,745.37,2.198,22361,22361,0,100.0,745.37,76.48,133.74,11.62,57,10.05,118.1,168,195.7,222,32,201,6.28,3.80,80.00
PT,0.50,11,396.87,397.00,1.706,11910,11910,0,100.0,397.00,60.70,76.20,0.00,0,0.00,109.2,161,159.2,175,15,95,6.33,3.57,71.00
PT,0.95,19,754.05,756.60,2.232,22698,22698,0,100.0,756.60,85.73,144.49,16.52,58,17.21,117.0,181,199.3,233,30,220,7.33,4.23,68.00
VT,0.65,16,515.93,514.40,2.170,15432,15432,0,100.0,514.40,62.83,79.81,0.00,0,0.00,112.4,170,132.0,132,21,180,8.57,3.87,53.00
VT,1.05,14,833.42,831.50,2.789,24945,24945,0,100.0,831.50,937.78,1447.50,707.60,1160,727.39,115.2,169,132.0,132,35,212,6.06,3.83,72.00
VT,1.05,8,833.42,830.90,2.912,24927,24927,0,100.0,830.90,1295.63,2111.88,968.77,1608,1024.19,124.3,185,132.0,132,33,253,7.67,4.37,116.00
VT,0.65,9,515.93,514.43,2.220,15433,15433,0,100.0,514.43,63.76,81.31,0.01,1,0.40,112.4,149,132.0,132,21,167,7.95,3.17,51.00
VT,0.85,17,674.67,675.93,2.399,20278,20278,0,100.0,675.93,63.67,86.38,1.07,16,0.46,117.1,166,132.0,132,26,191,7.35,3.73,29.00
PT,0.60,14,476.24,472.13,1.919,14164,14164,0,100.0,472.13,62.33,78.97,0.00,0,0.00,116.8,168,165.2,180,17,120,7.06,3.80,114.00
PT,0.95,3,754.05,754.33,2.230,22630,22630,0,100.0,754.33,99.53,246.73,26.64,134,27.56,116.7,169,208.7,332,30,218,7.27,3.83,16.00
PT,0.60,8,476.24,477.77,1.882,14333,14333,0,100.0,477.77,60.98,76.26,0.00,0,0.00,114.0,165,161.8,174,18,108,6.00,3.70,10.00
VT,0.80,14,634.99,635.13,2.425,19054,19054,0,100.0,635.13,64.43,85.23,0.30,13,0.91,118.3,170,132.0,132,24,204,8.50,3.87,57.00
VT,1.05,15,833.42,829.80,2.788,24894,24894,0,100.0,829.80,751.51,1104.92,558.89,877,571.33,111.7,162,132.0,132,35,219,6.26,3.60,42.00
VT,1.05,20,833.42,823.63,2.784,24709,24709,0,100.0,823.63,716.96,1132.38,524.59,906,538.63,132.8,194,132.0,132,28,219,7.82,4.67,103.00
VT,0.70,14,555.61,555.03,2.206,16651,16651,0,100.0,555.03,61.81,77.17,0.01,1,0.00,119.7,170,132.0,132,23,157,6.83,3.87,12.00
PT,0.75,16,595.30,602.70,2.057,18081,18081,0,100.0,602.70,62.11,80.94,0.22,13,0.00,113.4,163,171.7,193,22,124,5.64,3.63,110.00
VT,0.95,17,754.05,745.07,2.514,22352,22352,0,100.0,745.07,69.96,108.91,6.01,37,5.19,115.0,168,132.0,132,29,208,7.17,3.80,52.00
VT,0.30,11,238.12,240.40,1.569,7212,7212,0,100.0,240.40,62.17,68.27,0.00,0,0.00,115.3,171,132.0,132,8,39,4.88,3.90,98.00
VT,0.75,14,595.30,595.53,2.310,17866,17866,0,100.0,595.53,63.07,82.14,0.23,13,0.05,114.9,168,132.0,132,22,158,7.18,3.83,53.00
PT,0.50,17,396.87,398.13,1.811,11944,11944,0,100.0,398.13,61.57,75.67,0.00,0,0.00,114.5,172,157.6,172,15,86,5.73,3.93,23.00
PT,0.30,1,238.12,242.10,1.535,7263,7263,0,100.0,242.10,61.29,69.27,0.00,0,0.00,115.1,170,147.9,157,9,41,4.56,3.87,20.00
VT,0.70,5,555.61,552.10,2.267,16563,16563,0,100.0,552.10,62.87,80.11,0.03,5,0.00,118.3,171,132.0,132,20,169,8.45,3.93,93.00
VT,0.80,5,634.99,633.23,2.366,18997,18997,0,100.0,633.23,63.47,82.00,0.29,6,0.30,112.7,165,132.0,132,24,159,6.63,3.70,25.00
VT,1.05,19,833.42,825.40,2.779,24762,24762,0,100.0,825.40,674.92,1158.70,489.92,917,505.08,117.2,166,132.0,132,35,242,6.91,3.73,40.00
PT,0.85,7,674.67,681.77,2.108,20453,20453,0,100.0,681.77,65.11,99.30,1.82,25,1.44,109.0,164,179.2,204,25,160,6.40,3.67,102.00
PT,0.85,8,674.67,677.03,2.133,20311,20311,0,100.0,677.03,63.73,96.07,1.47,26,0.50,119.4,165,177.8,208,25,148,5.92,3.70,82.00
VT,0.85,13,674.67,678.57,2.394,20357,20357,0,100.0,678.57,63.28,85.56,0.83,16,0.19,116.1,170,132.0,132,26,188,7.23,3.87,43.00
VT,0.60,10,476.24,472.17,2.037,14165,14165,0,100.0,472.17,60.92,72.54,0.00,0,0.00,115.9,170,132.0,132,17,90,5.29,3.87,96.00
PT,0.95,16,754.05,753.67,2.230,22610,22610,0,100.0,753.67,75.99,130.77,10.19,53,9.80,121.7,168,192.1,231,29,172,5.93,3.80,74.00
PT,0.80,6,634.99,629.43,2.010,18883,18883,0,100.0,629.43,62.54,85.12,0.56,15,0.00,113.4,163,177.4,196,24,159,6.63,3.63,20.00
PT,0.75,4,595.30,588.03,2.091,17641,17641,0,100.0,588.03,62.05,79.15,0.17,9,0.00,109.8,162,170.3,181,22,141,6.41,3.60,57.00
VT,0.50,4,396.87,395.50,1.942,11865,11865,0,100.0,395.50,61.80,71.29,0.00,0,0.00,115.5,169,132.0,132,14,92,6.57,3.83,90.00
PT,0.75,7,595.30,590.10,2.012,17703,17703,0,100.0,590.10,62.53,92.53,0.27,12,0.00,113.9,169,170.8,197,22,165,7.50,3.87,35.00
PT,0.60,16,476.24,477.83,1.918,14335,14335,0,100.0,477.83,61.79,76.51,0.00,0,0.00,113.1,166,163.8,180,17,125,7.35,3.73,115.00
VT,0.50,12,396.87,400.23,1.994,12007,12007,0,100.0,400.23,62.54,72.44,0.00,0,0.00,113.2,169,132.0,132,14,89,6.36,3.83,117.00
PT,1.05,8,833.42,834.67,2.189,25040,25040,0,100.0,834.67,1467.88,2367.46,1104.75,1858,1172.62,122.6,172,1307.9,2037,32,223,6.97,3.93,91.00
PT,1.05,14,833.42,826.73,2.155,24802,24802,0,100.0,826.73,1410.88,2275.10,1056.29,1685,1114.34,119.8,180,1255.7,1850,31,247,7.97,4.20,62.00
PT,0.75,6,595.30,592.03,2.003,17761,17761,0,100.0,592.03,61.62,78.85,0.34,11,0.00,113.7,168,171.2,187,24,125,5.21,3.80,60.00
VT,0.30,10,238.12,237.67,1.576,7130,7130,0,100.0,237.67,62.39,68.05,0.00,0,0.00,114.8,171,132.6,133,8,36,4.50,3.90,86.00
PT,0.80,18,634.99,642.57,2.089,19277,19277,0,100.0,642.57,64.03,99.17,1.50,22,0.67,118.9,171,178.7,204,24,159,6.63,3.93,43.00
PT,0.65,4,515.93,520.03,1.977,15601,15601,0,100.0,520.03,61.82,77.51,0.01,1,0.00,115.3,149,167.9,181,19,125,6.58,3.17,77.00
PT,0.30,7,238.12,237.87,1.489,7136,7136,0,100.0,237.87,61.20,69.97,0.00,0,0.00,116.2,170,149.1,158,9,48,5.33,3.87,9.00
PT,0.70,14,555.61,556.83,2.011,16705,16705,0,100.0,556.83,61.88,77.49,0.23,13,0.00,117.4,166,168.4,195,21,124,5.90,3.77,27.00
VT,0.70,6,555.61,557.27,2.258,16718,16718,0,100.0,557.27,62.83,79.18,0.03,4,0.00,113.2,171,132.0,132,20,176,8.80,3.90,110.00
VT,0.95,4,754.05,762.67,2.672,22880,22880,0,100.0,762.67,77.47,136.16,11.01,70,11.04,116.9,168,132.0,132,32,206,6.44,3.80,39.00
VT,0.75,6,595.30,587.87,2.318,17636,17636,0,100.0,587.87,63.09,80.29,0.18,7,0.05,117.2,170,132.0,132,22,173,7.86,3.87,75.00
PT,0.65,2,515.93,517.43,1.929,15523,15523,0,100.0,517.43,61.23,77.22,0.01,2,0.00,113.0,148,165.5,179,19,119,6.26,3.13,71.00
VT,0.70,4,555.61,556.17,2.298,16685,16685,0,100.0,556.17,63.08,79.00,0.07,6,0.05,112.1,166,132.0,132,20,169,8.45,3.73,101.00
VT,0.50,1,396.87,396.53,1.967,11896,11896,0,100.0,396.53,62.33,71.21,0.00,0,0.00,118.2,172,132.0,132,14,99,7.07,3.93,96.00
PT,0.50,1,396.87,392.77,1.752,11783,11783,0,100.0,392.77,60.53,74.47,0.00,0,0.00,117.5,169,157.9,167,14,98,7.00,3.83,114.00
VT,0.70,19,555.61,553.27,2.172,16598,16598,0,100.0,553.27,61.26,76.83,0.04,6,0.00,113.8,170,132.0,132,20,124,6.20,3.87,93.00
PT,0.50,12,396.87,391.40,1.746,11742,11742,0,100.0,391.40,60.67,74.98,0.00,0,0.00,115.3,169,157.1,167,14,90,6.43,3.83,106.00
VT,0.75,13,595.30,598.20,2.378,17946,17946,0,100.0,598.20,62.65,79.45,0.07,5,0.00,115.8,166,132.0,132,22,150,6.82,3.73,80.00
VT,0.60,6,476.24,474.00,2.182,14220,14220,0,100.0,474.00,62.71,73.73,0.00,0,0.00,117.3,167,132.0,132,17,128,7.53,3.77,103.00
PT,0.60,18,476.24,477.17,1.865,14315,14315,0,100.0,477.17,60.61,76.61,0.06,9,0.00,122.1,171,161.0,177,18,120,6.67,3.90,24.00
PT,0.70,9,555.61,556.63,2.033,16699,16699,0,100.0,556.63,61.60,78.27,0.12,7,0.00,120.2,172,167.3,183,21,126,6.00,3.93,40.00
PT,0.85,11,674.67,678.33,2.098,20350,20350,0,100.0,678.33,64.50,102.29,1.52,29,1.02,123.4,172,180.6,216,25,154,6.16,3.93,76.00
VT,0.75,8,595.30,598.03,2.322,17941,17941,0,100.0,598.03,62.68,78.93,0.10,6,0.00,113.2,168,132.7,133,22,161,7.32,3.80,85.00
PT,0.95,18,754.05,756.77,2.214,22703,22703,0,100.0,756.77,76.73,131.97,10.23,58,10.40,116.1,169,190.2,226,32,206,6.44,3.83,67.00
PT,0.95,8,754.05,754.60,2.152,22638,22638,0,100.0,754.60,84.96,178.31,16.63,85,16.58,118.5,172,198.4,260,28,228,8.14,3.93,92.00
PT,0.95,10,754.05,753.93,2.259,22618,22618,0,100.0,753.93,91.41,164.79,20.71,71,21.43,116.9,167,204.4,254,30,194,6.47,3.77,136.00
PT,0.60,19,476.24,473.03,1.906,14191,14191,0,100.0,473.03,61.34,76.37,0.01,1,0.00,117.9,173,163.1,172,19,132,6.95,3.97,39.00
VT,0.30,7,238.12,236.10,1.562,7083,7083,0,100.0,236.10,62.11,68.00,0.00,0,0.00,115.8,171,132.0,132,8,41,5.13,3.90,55.00
VT,0.50,6,396.87,394.90,1.978,11847,11847,0,100.0,394.90,62.46,71.43,0.00,0,0.00,119.8,175,132.0,132,14,78,5.57,4.07,36.00
PT,0.30,13,238.12,242.10,1.493,7263,7263,0,100.0,242.10,60.77,66.62,0.00,0,0.00,120.2,176,146.1,152,8,40,5.00,4.07,120.00
PT,0.50,3,396.87,400.90,1.792,12027,12027,0,100.0,400.90,61.02,74.80,0.00,0,0.00,115.8,174,159.8,168,14,85,6.07,4.03,89.00
VT,0.30,15,238.12,235.23,1.609,7057,7057,0,100.0,235.23,63.26,68.21,0.00,0,0.06,114.8,169,132.0,132,8,29,3.63,3.83,52.00
VT,1.05,16,833.42,849.53,2.868,25486,25486,0,100.0,849.53,1494.91,2504.02,1142.70,1957,1216.46,116.9,165,132.0,132,35,260,7.43,3.70,77.00
VT,0.50,18,396.87,401.57,1.891,12047,12047,0,100.0,401.57,61.16,70.95,0.00,0,0.00,116.8,169,132.0,132,14,81,5.79,3.83,72.00
VT,0.65,20,515.93,509.00,2.195,15270,15270,0,100.0,509.00,62.48,77.05,0.00,0,0.00,122.4,175,132.0,132,18,166,9.22,4.03,83.00
PT,0.50,18,396.87,400.07,1.805,12002,12002,0,100.0,400.07,61.04,75.00,0.00,0,0.00,119.0,176,158.9,175,14,93,6.64,4.07,91.00
VT,1.05,10,833.42,843.57,2.808,25307,25307,0,100.0,843.57,1502.09,2426.05,1139.94,1885,1213.97,118.2,173,133.0,133,35,254,7.26,3.97,20.00
VT,0.50,17,396.87,397.13,1.999,11914,11914,0,100.0,397.13,62.57,71.96,0.00,0,0.00,118.1,175,132.0,132,14,92,6.57,4.03,37.00
PT,0.30,19,238.12,237.57,1.451,7127,7127,0,100.0,237.57,60.63,67.90,0.00,0,0.00,114.0,166,146.6,154,8,35,4.38,3.77,106.00
VT,0.60,12,476.24,472.27,2.165,14168,14168,0,100.0,472.27,62.29,72.34,0.00,0,0.00,117.0,175,132.2,133,17,112,6.59,4.03,38.00
VT,1.05,4,833.42,824.40,2.852,24732,24732,0,100.0,824.40,822.20,1344.45,609.37,1041,625.89,124.7,175,133.0,133,34,254,7.47,4.03,31.00
VT,0.85,14,674.67,673.07,2.400,20192,20192,0,100.0,673.07,63.76,86.71,1.03,19,0.51,119.0,167,132.5,133,25,190,7.60,3.77,24.00
VT,0.75,17,595.30,590.97,2.308,17729,17729,0,100.0,590.97,63.16,80.75,0.03,2,0.10,120.5,174,132.0,132,21,180,8.57,4.00,97.00
VT,0.30,16,238.12,239.47,1.594,7184,7184,0,100.0,239.47,63.35,68.50,0.00,0,0.09,112.6,174,132.0,132,8,31,3.88,4.00,75.00
VT,0.65,14,515.93,513.63,2.269,15409,15409,0,100.0,513.63,63.28,76.38,0.01,1,0.15,115.4,174,132.0,132,18,135,7.50,4.03,87.00
PT,0.60,17,476.24,473.30,1.897,14199,14199,0,100.0,473.30,60.84,75.51,0.00,0,0.00,115.9,173,163.4,171,17,102,6.00,3.97,70.00
VT,0.65,13,515.93,518.67,2.135,15560,15560,0,100.0,518.67,61.38,75.60,0.00,0,0.00,116.3,175,132.0,132,18,119,6.61,4.03,99.00
PT,0.65,11,515.93,509.53,1.905,15286,15286,0,100.0,509.53,61.61,78.15,0.00,0,0.00,114.2,176,164.0,191,18,147,8.17,4.07,90.00
PT,0.60,15,476.24,479.87,1.915,14396,14396,0,100.0,479.87,62.06,76.97,0.06,7,0.00,119.8,174,164.8,186,17,125,7.35,4.00,84.00
VT,0.75,9,595.30,598.37,2.228,17951,17951,0,100.0,598.37,61.99,81.66,0.12,12,0.00,118.7,173,133.7,134,22,160,7.27,3.97,21.00
VT,0.65,19,515.93,519.43,2.193,15583,15583,0,100.0,519.43,62.20,76.28,0.00,0,0.00,111.1,151,132.7,134,19,121,6.37,3.23,69.00
VT,0.65,10,515.93,514.60,2.210,15438,15438,0,100.0,514.60,62.30,76.03,0.00,0,0.00,115.2,149,132.0,132,19,144,7.58,3.17,72.00
PT,0.75,15,595.30,596.70,2.006,17901,17901,0,100.0,596.70,63.28,136.10,0.83,61,0.17,114.7,163,177.5,269,23,142,6.17,3.63,29.00
PT,0.30,4,238.12,240.03,1.470,7201,7201,0,100.0,240.03,60.93,69.83,0.00,0,0.00,114.9,168,148.2,156,9,54,6.00,3.80,6.00
VT,0.80,11,634.99,632.73,2.421,18982,18982,0,100.0,632.73,64.11,83.61,0.31,9,0.71,118.2,171,132.0,132,24,183,7.63,3.93,25.00
PT,0.70,4,555.61,562.23,2.013,16867,16867,0,100.0,562.23,61.57,77.75,0.05,4,0.00,117.3,169,169.5,182,21,128,6.10,3.83,34.00
PT,0.30,20,238.12,238.40,1.497,7152,7152,0,100.0,238.40,60.69,70.70,0.00,0,0.00,119.1,169,147.9,157,8,51,6.38,3.83,118.00
PT,0.75,8,595.30,595.03,2.064,17851,17851,0,100.0,595.03,62.82,86.79,0.29,10,0.00,116.1,169,171.0,186,22,156,7.09,3.87,52.00
PT,1.05,7,833.42,843.00,2.151,25290,25290,0,100.0,843.00,1492.39,2849.97,1102.16,2180,1204.98,117.4,167,1306.7,2289,35,242,6.91,3.77,78.00
VT,0.85,19,674.67,680.90,2.463,20427,20427,0,100.0,680.90,64.67,86.68,1.06,15,1.14,119.4,165,132.0,132,26,192,7.38,3.70,48.00
VT,0.95,5,754.05,758.73,2.636,22762,22762,0,100.0,758.73,80.53,151.91,12.83,66,13.31,121.8,167,132.0,132,32,252,7.88,3.77,29.00
VT,0.60,16,476.24,470.23,2.215,14107,14107,0,100.0,470.23,62.96,72.61,0.00,0,0.00,113.7,171,132.0,132,17,101,5.94,3.90,80.00
PT,0.30,14,238.12,234.63,1.483,7039,7039,0,100.0,234.63,61.15,70.20,0.00,0,0.00,120.3,171,147.1,159,9,42,4.67,3.90,6.00
VT,0.85,8,674.67,678.37,2.479,20351,20351,0,100.0,678.37,64.49,85.54,0.72,11,1.02,125.9,172,132.0,132,25,183,7.32,3.93,83.00
PT,0.80,5,634.99,636.77,2.117,19103,19103,0,100.0,636.77,63.07,87.78,0.54,11,0.05,116.7,168,175.8,192,24,161,6.71,3.80,23.00
VT,0.95,14,754.05,750.10,2.627,22503,22503,0,100.0,750.10,73.26,125.18,7.66,47,7.70,115.9,168,132.0,132,29,244,8.41,3.80,86.00
VT,0.70,12,555.61,554.97,2.285,16649,16649,0,100.0,554.97,63.13,79.09,0.04,3,0.08,108.8,161,132.0,132,22,181,8.23,3.57,110.00
PT,0.80,10,634.99,632.37,2.024,18971,18971,0,100.0,632.37,62.06,90.89,0.97,20,0.00,119.7,170,175.1,202,24,156,6.50,3.83,33.00
PT,0.70,15,555.61,559.67,1.997,16790,16790,0,100.0,559.67,61.99,78.70,0.10,9,0.00,114.6,160,167.4,187,21,135,6.43,3.53,22.00
PT,0.85,19,674.67,673.10,2.052,20193,20193,0,100.0,673.10,63.01,93.30,1.60,31,0.01,128.2,172,177.2,201,25,134,5.36,3.93,103.00
VT,0.70,11,555.61,550.53,2.208,16516,16516,0,100.0,550.53,61.94,77.64,0.02,3,0.00,113.3,166,132.0,132,20,149,7.45,3.73,106.00
VT,0.60,11,476.24,472.03,2.099,14161,14161,0,100.0,472.03,61.46,71.81,0.00,0,0.00,113.5,166,132.0,132,17,111,6.53,3.73,93.00
VT,0.50,14,396.87,396.77,1.942,11903,11903,0,100.0,396.77,61.84,71.99,0.00,0,0.00,113.7,166,132.0,132,14,95,6.79,3.73,105.00
PT,0.60,10,476.24,478.60,1.896,14358,14358,0,100.0,478.60,61.67,77.00,0.00,0,0.00,114.2,163,163.6,176,18,134,7.44,3.63,16.00
